#y-axis,bench,compiler,runtime,relPerfGain,,,
26,xz [C],FJtrad,77.578064,0,,77.578,
25,,FJtrad,,0,,,
24,bwaves [F],FJtrad,1.690294,0,,1.690   [1|32],1|32
23,"cactuBSSN [C++,C,F]",FJtrad,4.955578,0,,4.956   [1|48],1|48
22,lbm [C],FJtrad,11.396731,0,,11.397   [1|48],1|48
21,"wrf [F,C]",FJtrad,5.481519,0,,5.482   [1|32],1|32
20,"cams [F,C]",FJtrad,11.925072,0,,11.925   [1|48],1|48
19,"pops [F,C]",FJtrad,15.114878,0,,15.115   [1|32],1|32
18,imagick [C],FJtrad,18.778246,0,,18.778   [1|8],1|8
17,nab [C],FJtrad,17.824307,0,,17.824   [1|48],1|48
16,fotonik [F],FJtrad,8.892505,0,,8.893   [1|48],1|48
15,roms [F],FJtrad,8.133911,0,,8.134   [1|48],1|48
14,,FJtrad,,0,,,
13,md [F],FJtrad,109.786187,0,,109.786   [1|48],1|48
12,bwaves [F],FJtrad,0.541306,0,,0.541   [1|48],1|48
11,nab [C],FJtrad,25.995413,0,,25.995   [1|48],1|48
10,bt [F],FJtrad,18.426536,0,,18.427   [1|48],1|48
9,botsalgn [C],FJtrad,0.686162,0,,0.686   [1|48],1|48
8,botsspar [C],FJtrad,0.491713,0,,0.492   [1|48],1|48
7,ilbdc [F],FJtrad,15.714809,0,,15.715   [1|48],1|48
6,fma [F],FJtrad,11.981694,0,,11.982   [1|48],1|48
5,swim [F],FJtrad,1.366964,0,,1.367   [1|32],1|32
4,imagick [C],FJtrad,4.572535,0,,4.573   [1|48],1|48
3,mgrid [F],FJtrad,0.219752,0,,0.220   [1|32],1|32
2,applu [F],FJtrad,3.195974,0,,3.196   [1|32],1|32
1,smithwa [C],FJtrad,3.081564,0,,3.082   [1|48],1|48
0,kdtree [C++],FJtrad,166.329834,0,,166.330   [1|48],1|48
#y-axis,bench,compiler,relPerfGain,relPerfGain,runtime,,
231,,FJclang,,0,,,
